Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,53.02,53.24,52.38,52.54,49.61,927900
2010-01-05,52.59,52.59,51.62,51.87,48.98,1102500
2010-01-06,51.66,52.3,51.43,52.27,49.45,1099800
2010-01-07,51.39,52.24,51.11,52.07,49.26,1394200
2010-01-08,52.05,52.51,51.7,52.44,49.61,720400
2010-01-11,52.66,53.07,52.3,52.66,49.82,507000
2010-01-12,52.24,52.8,52.24,52.62,49.78,773500
2010-01-13,52.59,52.71,51.86,52.43,49.6,575300
2010-01-14,52.14,52.58,51.95,52.5,49.67,540700
2010-01-15,52.4,52.45,51.48,51.71,48.92,403900
2010-01-19,53.33,54.18,53.22,53.84,50.93,1100800
2010-01-20,53.28,53.94,52.42,53.3,50.42,819600
2010-01-21,53.03,53.32,52.24,52.26,49.44,566200
2010-01-22,51.9,52.23,51.05,51.11,48.35,761200
2010-01-25,51.57,51.84,51.0,51.26,48.49,446300
2010-01-26,51.27,51.93,50.95,51.0,48.25,480700
2010-01-27,50.82,51.03,49.84,50.67,47.94,506900
2010-01-28,50.68,50.83,49.9,50.35,47.63,337700
2010-01-29,50.61,51.27,50.03,50.08,47.38,675400
2010-02-01,50.31,50.8,50.23,50.49,47.77,493100
2010-02-02,50.71,51.48,50.64,51.39,48.62,690700
2010-02-03,53.98,54.2,53.06,53.6,50.71,1381400
2010-02-04,52.99,53.92,52.74,53.08,50.22,1150200
2010-02-05,52.99,53.29,51.24,52.52,49.69,811100
2010-02-08,52.45,52.6,51.72,51.8,49.0,460300
2010-02-09,52.2,52.91,51.81,52.24,49.42,747000
2010-02-10,51.99,52.33,51.01,51.75,48.96,662700
2010-02-11,51.53,53.03,51.12,52.96,50.1,794100
2010-02-12,52.1,52.96,51.79,52.9,50.05,1039200
2010-02-16,53.06,53.9,53.05,53.84,50.93,479800
2010-02-17,54.35,54.42,53.61,53.91,51.0,433100
2010-02-18,53.72,54.93,53.72,54.84,51.88,489400
2010-02-19,54.72,56.11,54.61,55.52,52.52,1145000
2010-02-22,55.59,56.03,54.99,55.2,52.22,735600
2010-02-23,55.13,55.22,54.17,54.48,51.54,514700
2010-02-24,54.53,55.11,54.44,55.06,52.09,700900
