Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,84.21,85.0,83.11,83.45,78.12,3215100
2010-01-05,83.44,84.59,82.64,84.54,79.14,2493300
2010-01-06,84.33,85.12,83.61,83.84,78.49,2491000
2010-01-07,83.85,83.85,82.4,82.93,77.63,3093200
2010-01-08,84.08,85.26,82.95,84.99,79.56,4351200
2010-01-11,85.59,88.29,85.4,87.25,81.68,6131900
2010-01-12,86.44,88.68,85.6,86.58,81.05,3345100
2010-01-13,86.95,87.33,85.15,85.82,80.34,2855700
2010-01-14,85.58,86.45,85.09,86.29,80.78,2104300
2010-01-15,86.34,86.8,84.93,85.11,79.67,4369700
2010-01-19,84.97,86.26,84.97,85.9,80.41,2289200
2010-01-20,84.75,84.8,83.08,84.06,78.69,2793100
2010-01-21,84.35,84.48,81.3,81.6,76.39,2865500
2010-01-22,81.32,81.86,80.19,80.29,75.16,2551800
2010-01-25,81.22,81.22,79.15,80.69,75.54,1878500
2010-01-26,80.46,81.23,79.51,80.76,75.6,2272300
2010-01-27,80.75,80.77,78.61,80.42,75.28,3523900
2010-01-28,80.98,80.98,78.39,79.07,74.02,1974200
2010-01-29,79.68,80.7,78.3,78.35,73.35,3139500
2010-02-01,78.81,80.73,78.76,80.67,75.52,3056600
2010-02-02,81.07,82.55,80.36,82.33,77.07,3217400
2010-02-03,81.66,82.85,80.91,82.12,76.88,2593700
2010-02-04,81.36,81.74,78.75,78.85,73.81,3830100
2010-02-05,78.85,79.25,75.17,76.69,71.79,5535300
2010-02-08,76.82,77.77,75.31,76.69,71.79,2966800
2010-02-09,77.27,79.72,76.96,79.22,74.16,4694400
2010-02-10,79.16,79.29,77.52,78.29,73.29,2196800
2010-02-11,78.38,79.78,77.44,79.53,74.45,2272800
2010-02-12,78.4,78.68,77.51,78.55,73.53,2902000
2010-02-16,78.92,80.2,78.92,79.97,74.86,2649200
2010-02-17,79.9,80.49,78.93,79.94,74.83,2484400
2010-02-18,79.63,80.39,79.37,80.1,74.98,1714300
2010-02-19,80.1,82.44,80.1,81.76,76.54,3000000
2010-02-22,82.25,83.14,81.52,82.36,77.1,2218800
2010-02-23,82.06,83.12,80.92,81.49,76.29,2217300
2010-02-24,81.73,83.61,81.73,83.08,77.77,3083400
2010-02-25,81.54,83.27,80.27,83.18,77.87,3007100
2010-02-26,83.13,84.98,82.32,84.76,79.35,3030000
2010-03-01,84.92,86.45,84.83,85.81,80.33,2419000
2010-03-02,86.44,87.12,85.21,85.41,79.96,3169300
2010-03-03,85.82,87.8,85.66,86.14,80.64,3579600
2010-03-04,87.23,87.48,85.47,86.36,80.84,2448200
2010-03-05,87.02,87.75,86.63,86.95,81.4,1817600
2010-03-08,87.26,87.54,86.14,86.67,81.13,1924700
2010-03-09,86.48,87.34,85.64,86.85,81.41,2023300
2010-03-10,87.01,88.34,86.88,87.26,81.79,2557400
2010-03-11,86.61,87.0,85.64,86.49,81.07,4330500
2010-03-12,86.53,86.69,84.8,86.18,80.78,3605200
2010-03-15,86.2,87.83,86.15,87.83,82.33,2509100
2010-03-16,88.04,88.94,87.68,88.63,83.07,2798400
2010-03-17,89.05,90.51,89.05,89.8,84.17,4885800
2010-03-18,87.85,92.96,87.0,92.67,86.86,13233200
2010-03-19,91.05,92.17,90.36,91.05,85.34,5613000
2010-03-22,90.5,91.0,89.52,89.68,84.06,3904200
2010-03-23,89.66,92.01,89.64,91.63,85.89,4116000
2010-03-24,91.42,91.5,90.1,90.24,84.58,4458000
2010-03-25,91.18,91.94,90.01,90.94,85.24,5720000
2010-03-26,91.19,91.88,90.34,91.35,85.62,3777100
2010-03-29,91.75,92.43,90.84,92.23,86.45,3423400
2010-03-30,92.52,93.23,91.68,92.82,87.0,3979900
2010-03-31,92.17,93.66,91.6,93.4,87.55,4168500
2010-04-01,94.01,94.53,91.69,92.17,86.39,2527800
2010-04-05,92.12,92.63,91.66,92.46,86.66,2091900
2010-04-06,92.09,92.84,91.76,92.37,86.58,1794300
2010-04-07,92.03,92.35,90.2,90.67,84.99,2522400
2010-04-08,90.45,90.94,89.82,90.72,85.03,2344000
2010-04-09,90.48,91.64,90.28,91.26,85.54,1876000
2010-04-12,91.07,91.7,90.57,90.82,85.13,1542300
